Date/Time,Address,Call Type,Description,Incident Number,Duration
8/6/2023 0:33,200 BLK 16TH ST S,Domestic,POSS DOMESTIC,2023-00019770,0:30:15
8/5/2023 2:32,1100 BLK 19TH ST S,Domestic,DOMESTIC,2023-00019710,0:27:06
8/4/2023 12:45,1300 BLK 3RD AVE N,Domestic,DOMESTIC,2023-00019637,0:25:23
8/3/2023 14:19,700 BLK 1/2 12TH ST N,Domestic,Domestic,2023-00019535,1:17:18
8/3/2023 0:28,1900 BLK 18TH AVE S,Domestic,Domestic,2023-00019498,0:59:42
8/2/2023 0:43,1900 BLK 18TH AVE S,Domestic,Domestic,Multiple incidents,1:26:14
8/1/2023 18:07,500 BLK 32ND AVE S,Domestic,DOMESTIC,2023-00019346,1:04:55
7/31/2023 1:48,1200 BLK 32ND STREET CIR S,Domestic,Domestic,,5:02:24
7/29/2023 15:07,300 BLK 16TH AVE S,Domestic,Domestic,2023-00018978,0:30:23
7/29/2023 4:17,1200 BLK 34TH STREET CIR S,Domestic,PHYSICAL DOMESTIC,2023-00018951,1:45:06
7/28/2023 12:53,900 BLK 10TH AVE S,Domestic,Domestic,2023-00018855,0:40:43
7/26/2023 23:19,1000 BLK 20TH ST S,Domestic,PHYSICAL DOMESTIC,2023-00018705,0:34:30
7/26/2023 15:01,800 BLK 2ND AVE N,Domestic,DOMESTIC,2023-00018647,0:41:54
7/25/2023 16:34,1900 BLK 34TH AVE S,Domestic,DOMESTIC,2023-00018545,0:49:10
7/25/2023 16:34,1900 BLK 34TH AVE S,Domestic,Domestic,,5:02:58
7/24/2023 0:20,2800 BLK 20TH ST S,Domestic,DOMESTIC,2023-00018394,0:12:04
7/22/2023 22:25,2500 BLK BROOKDALE RD,Domestic,Domestic,Multiple incidents,2:03:29
7/22/2023 9:43,500 BLK 20TH ST N,Domestic,DOMESTIC*1021 FIRST*,2023-00018260,0:51:50
7/22/2023 7:44,900 BLK 24TH AVE S,Domestic,DOMESTIC,2023-00018254,1:52:02
7/22/2023 5:20,800 BLK 16TH ST N,Domestic,PHYSICAL DOMESTIC,2023-00018252,0:58:42
